State,County,Zip,Date
1267,387,13,08/13/2020
1245,289,10,08/14/2020
1127,256,07,08/15/2020
1342,187,05,08/16/2020
1148,150,09,08/17/2020
987,162,06,08/18/2020
794,146,07,08/19/2020
1058,200,07,08/20/2020
1123,208,03,08/21/2020
1231,223,04,08/22/2020
818,223,21,08/23/2020
713,182,06,08/24/2020
702,176,12,08/25/2020
1418,234,11,08/28/20
1058,345,13,09/01/20
1458,420,08,09/02/20
1397,187,14,09/03/20
1321,235,12,09/05/20
1452,203,17,09/07/20
1116,186,23,09/10/20
1569,154,26,09/12/20
1974,97,29,09/13/20
1332,83,49,09/14/20
1191,151,54,09/16/20
1747,145,57,09/17/20
1328,170,55,09/20/20
1463,159,63,09/21/20
1059,145,61,09/22/20
1580,160,62,09/23/20
1716,178,59,09/26/20
1392,192,62,09/27/20
1280,103,64,09/28/20
1351,369,63,09/30/20
1799,136,65,10/01/20
1326,116,65,10/04/20
987,192,71,10/05/20
1165,177,68,10/06/20
1068,156,69,10/07/20
2008,228,69,10/09/20
5066,197,67,10/10/20
4449,206,68,10/14/20
1875,169,71,10/15/20
2017,422,76,10/16/20
2357,422,70,10/17/20
1768,227,73,10/18/20
1405,636,76,10/20/20
1524,246,77,10/21/20
1244,246,77,10/22/20
1811,216,80,10/24/20
2918,216,81,10/25/20
2043,445,81,10/26/20
1527,374,86,10/27/20
1695,173,84,10/28/20
1915,431,85,10/29/20
3061,286,85,10/30/20
2507,505,90,10/31/20
2986,228,92,11/01/20
2349,407,97,11/02/20
2651,508,111,11/03/20
2238,301,117,11/04/20
2599,574,128,11/05/20
3553,556,134,11/06/20
3244,548,148,11/10/20
4256,844,161,11/11/20
4071,642,177,11/12/20
4603,962,192,11/13/20
4005,934,202,11/14/20
6346,805,205,11/15/20
3729,623,212,11/16/20
3718,1061,214,11/17/20
5717,798,229,11/18/20
4587,740,233,11/19/20
4349,613,233,11/20/20
4614,703,242,11/21/20
4876,703,243,11/22/20
4215,703,258,11/23/20
3370,597,262,11/24/20
3764,930,272,11/25/20
4131,884,275,11/26/20
4471,799,280,11/27/20
3273,735,248,11/28/20
2204,696,243,11/29/20
3193,314,235,11/30/20
2929,602,240,12/01/20
2679,572,234,12/03/20
3998,695,233,12/04/20
4053,688,214,12/05/20
5001,902,218,12/06/20
3876,605,202,12/07/20
2658,617,200,12/08/20
3250,591,195,12/09/20
2640,447,191,12/10/20
3858,409,182,12/11/20
