State,County,Zip,Date
1267,387,13,08/13/2020
1245,289,10,08/14/2020
1127,256,07,08/15/2020
1342,187,05,08/16/2020
1148,150,09,08/17/2020
987,162,06,08/18/2020
794,146,07,08/19/2020
1058,200,07,08/20/2020
1123,208,03,08/21/2020
1231,223,04,08/22/2020
818,223,21,08/23/2020
713,182,06,08/24/2020
702,176,12,08/25/2020
1418,234,11,08/28/20
1058,345,13,09/01/20
1458,420,08,09/02/20
1397,187,14,09/03/20
1321,235,12,09/05/20
1452,203,17,09/07/20
1116,186,23,09/10/20
1569,154,26,09/12/20
1974,97,29,09/13/20
1332,83,49,09/14/20
1191,151,54,09/16/20
1747,145,57,09/17/20
1328,170,55,09/20/20
1463,159,63,09/21/20
1059,145,61,09/22/20
1580,160,62,09/23/20
1716,178,59,09/26/20
1392,192,62,09/27/20
1280,103,64,09/28/20
1351,369,63,09/30/20
1799,136,65,10/01/20
1326,116,65,10/04/20
987,192,71,10/05/20
1165,177,68,10/06/20
1068,156,69,10/07/20
2008,228,69,10/09/20
5066,197,67,10/10/20
4449,206,68,10/14/20
1875,169,71,10/15/20
2357,422,70,10/17/20
